,date,text,hours_played,recommended,received_free
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
wow. I am addicted.",119.7 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
Land, Make HUB, C O L O N I Z E, AUTOMATE, D O M I N A T E. E X P A N D
You are Fiscit's ♥♥♥♥♥.",3.9 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
Big brain of setting everything Automatic and its an amazing game. Definitely worth the money",98.6 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
Really fun game. If you enjoy visible progression and don't mind a bit of a grind,this game is for you",41.0 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
cool game i like sandbox tycoon games",99.0 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
Good solid game.",38.4 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
Its a really enjoyable game and theirs a lot of content in it",33.4 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
buy i need someone to co-op with (please)",24.2 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
Product received for free

EARLY ACCESS REVIEW
MUST EXPAND FACTORY. DRIVE OUT THE LOCALS. KILL THE PUPPERS. MAKE AN UNHOLY ABOMINATION OF A ""factory"". TAKE HOURS TO FIND YOUR STEEL PIPES! RIDE THE FISCIT FREIGHTER TO HEAVEN!!",88.4 hrs on record,Recommended,Product received for free
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
This is the most addictive game of my life. Amazingly good design and learn by doing curve, with performance that has been excellent. Cannot say enough good about it...buy it...take your time and enjoy it. Run it through without looking things up on YouTube unless you are really stuck or get to a point where you know there is a shortcut key and just haven't found it. Savor savor savor!",37.4 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
wow. I am addicted.",119.7 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
Land, Make HUB, C O L O N I Z E, AUTOMATE, D O M I N A T E. E X P A N D
You are Fiscit's ♥♥♥♥♥.",3.9 hrs on record,Recommended,0
0,Posted: 1 August,"Posted: 1 August
EARLY ACCESS REVIEW
Big brain of setting everything Automatic and its an amazing game. Definitely worth the money",98.6 hrs on record,Recommended,0
